,year,date,time,day,venue,referee,team,opponent,formation,result,poss,gf,ga,gls,sh,sot,sot%,g/sh,g/sot,pk,pkatt,g-xg,xg,xga,np:g-xg,npxg,npxg/sh
0,2023,2023-01-28,21:30,Sat,Away,Facundo Tello,River Plate,CC Córdoba,4-2-3-1,W,65.0,2.0,2.0,2.0,21.0,6.0,28.6,0.1,0.33,0.0,0.0,,,,,,
1,2023,2023-02-04,19:15,Sat,Away,Yael Falcón,River Plate,Club Atlético Belgrano,4-2-3-1,L,66.0,1.0,1.0,1.0,15.0,4.0,26.7,0.07,0.25,0.0,0.0,,,,,,
2,2023,2023-02-12,19:15,Sun,Home,Fernando Rapallini,River Plate,Argentinos Jun,4-3-1-2,W,50.0,2.0,2.0,2.0,8.0,3.0,37.5,0.0,0.0,2.0,2.0,,,,,,
3,2023,2023-02-18,18:00,Sat,Away,Jorge Baliño,River Plate,Tigre,4-1-3-2,W,55.0,1.0,1.0,1.0,15.0,5.0,33.3,0.07,0.2,0.0,0.0,,,,,,
4,2023,2023-02-26,19:15,Sun,Home,Nicolás Ramírez,River Plate,Arsenal,4-4-2◆,L,64.0,1.0,1.0,1.0,20.0,10.0,50.0,0.05,0.1,0.0,0.0,,,,,,
5,2023,2023-03-04,19:15,Sat,Away,Darío Herrera,River Plate,Lanús,4-3-1-2,W,52.0,2.0,2.0,2.0,3.0,2.0,66.7,0.67,1.0,0.0,0.0,,,,,,
6,2023,2023-03-12,19:15,Sun,Home,Silvio Trucco,River Plate,Godoy Cruz,4-3-2-1,W,67.0,3.0,3.0,3.0,16.0,5.0,31.3,0.06,0.2,2.0,2.0,,,,,,
7,2023,2023-03-19,21:30,Sun,Away,Ariel Penel,River Plate,Sarmiento,4-3-3,W,70.0,2.0,2.0,2.0,25.0,8.0,32.0,0.04,0.13,1.0,1.0,,,,,,
8,2023,2023-03-31,21:30,Fri,Home,Fernando Echenique,River Plate,CA Unión,4-3-2-1,W,68.0,1.0,1.0,1.0,20.0,7.0,35.0,0.05,0.14,0.0,0.0,,,,,,
9,2023,2023-04-04,18:00,Tue,Away,Jesús Valenzuela,River Plate,bo The Strongest,4-2-3-1,L,59.0,1.0,1.0,1.0,23.0,6.0,26.1,0.0,0.0,1.0,1.0,-1.8,2.8,2.2,-2.0,2.0,0.09
10,2023,2023-04-09,19:00,Sun,Away,Facundo Tello,River Plate,CA Huracán,4-2-2-2,W,62.0,3.0,3.0,3.0,19.0,6.0,31.6,0.05,0.17,2.0,2.0,,,,,,
11,2023,2023-04-13,19:30,Thu,Home,Darío Herrera,River Plate,Gimnasia ELP,4-4-2◆,W,71.0,3.0,3.0,3.0,23.0,7.0,30.4,0.09,0.29,1.0,1.0,,,,,,
12,2023,2023-04-16,19:00,Sun,Away,Hernán Mastrángelo,River Plate,Newell's OB,4-2-3-1,W,50.0,1.0,1.0,1.0,12.0,5.0,41.7,0.08,0.2,0.0,0.0,,,,,,
13,2023,2023-04-19,21:00,Wed,Home,John J. Ospina,River Plate,pe Sporting Cristal,4-2-2-2,W,56.0,4.0,4.0,4.0,19.0,7.0,36.8,0.21,0.57,0.0,0.0,2.2,1.8,0.8,2.2,1.8,0.09
14,2023,2023-04-23,20:30,Sun,Home,Andrés Merlos,River Plate,Independiente,4-3-3,W,71.0,2.0,2.0,2.0,19.0,8.0,42.1,0.11,0.25,0.0,0.0,,,,,,
15,2023,2023-04-28,21:30,Fri,Away,Fernando Rapallini,River Plate,Tucumán,3-4-1-2,D,65.0,1.0,1.0,0.0,6.0,3.0,50.0,0.0,0.0,0.0,0.0,,,,,,
16,2023,2023-05-02,21:00,Tue,Away,Esteban Ostojich,River Plate,br Fluminense,4-3-3,L,45.0,1.0,1.0,1.0,13.0,7.0,53.8,0.08,0.14,0.0,0.0,0.2,0.8,3.4,0.2,0.8,0.06
17,2023,2023-05-07,17:30,Sun,Home,Darío Herrera,River Plate,Boca Juniors,4-2-3-1,W,60.0,1.0,1.0,1.0,16.0,5.0,31.3,0.0,0.0,1.0,1.0,,,,,,
18,2023,2023-05-14,21:30,Sun,Away,Nicolás Ramírez,River Plate,Talleres,4-2-3-1,L,67.0,1.0,1.0,1.0,14.0,5.0,35.7,0.07,0.2,0.0,0.0,,,,,,
19,2023,2023-05-21,20:30,Sun,Home,Nazareno Arasa,River Plate,Platense,4-2-3-1,W,68.0,2.0,2.0,2.0,20.0,5.0,25.0,0.1,0.4,0.0,0.0,,,,,,
20,2023,2023-05-25,19:00,Thu,Away,Cristián Garay,River Plate,pe Sporting Cristal,4-2-3-1,D,62.0,1.0,1.0,1.0,19.0,5.0,26.3,0.05,0.2,0.0,1.0,-1.5,2.5,0.7,-0.7,1.7,0.09
21,2023,2023-05-29,21:30,Mon,Away,Fernando Echenique,River Plate,Vélez Sarsf,4-2-3-1,D,61.0,2.0,2.0,2.0,19.0,11.0,57.9,0.11,0.18,0.0,0.0,,,,,,
22,2023,2023-06-07,21:30,Wed,Home,Wilmar Roldán,River Plate,br Fluminense,4-1-2-1-2◆,W,46.0,2.0,2.0,2.0,22.0,4.0,18.2,0.05,0.25,1.0,1.0,-0.2,2.2,0.7,-0.4,1.4,0.06
23,2023,2023-06-12,19:15,Mon,Away,Facundo Tello,River Plate,Banfield,4-1-3-2,W,66.0,4.0,4.0,4.0,10.0,7.0,70.0,0.4,0.57,0.0,0.0,,,,,,
24,2023,2023-06-17,21:00,Sat,Home,Fernando Rapallini,River Plate,Defensa y Just,4-3-1-2,W,64.0,1.0,1.0,1.0,17.0,5.0,29.4,0.06,0.2,0.0,0.0,,,,,,
25,2023,2023-06-22,19:45,Thu,Home,Hernán Mastrángelo,River Plate,Instituto Atlético Central Córdoba,4-1-3-2,W,72.0,3.0,3.0,3.0,26.0,9.0,34.6,0.12,0.33,0.0,0.0,,,,,,
26,2023,2023-06-27,21:00,Tue,Home,Gustavo Tejera,River Plate,bo The Strongest,4-2-3-1,W,67.0,2.0,2.0,2.0,20.0,8.0,40.0,0.1,0.25,0.0,0.0,-0.2,2.2,0.3,-0.2,2.2,0.12
27,2023,2023-07-01,15:00,Sat,Away,Leandro Rey Hilfer,River Plate,Barracas Central,3-1-4-2,L,67.0,1.0,1.0,1.0,13.0,3.0,23.1,0.08,0.33,0.0,0.0,,,,,,
28,2023,2023-07-05,21:30,Wed,Home,Nicolás Ramírez,River Plate,Colón,4-2-3-1,W,69.0,2.0,2.0,2.0,20.0,5.0,25.0,0.1,0.4,0.0,0.0,,,,,,
29,2023,2023-07-08,20:30,Sat,Away,Facundo Tello,River Plate,San Lorenzo,4-2-3-1,D,69.0,0.0,0.0,0.0,13.0,3.0,23.1,0.0,0.0,0.0,0.0,,,,,,
30,2023,2023-07-15,19:00,Sat,Home,Andrés Merlos,River Plate,Estudiantes,4-2-3-1,W,58.0,3.0,3.0,3.0,11.0,5.0,45.5,0.18,0.4,1.0,1.0,,,,,,
31,2023,2023-07-23,nan,Sun,Away,Darío Herrera,River Plate,Rosario Cent,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,55.0,517.0,179.0,34.6,0.08,0.24,12.0,13.0,42.8,,,33.2,9.8,0.09
32,2023,2023-07-30,nan,Sun,Home,Darío Herrera,River Plate,Racing Club,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,2.227058129241664,24.68980021030494,8.049421661409044,33.00197496032446,0.08688767413154648,0.25326165522226235,0.21658306285039836,0.2822366479787548,,,,,,
33,2023,2023-08-01,21:00,Tue,Home,Darío Herrera,River Plate,br Internacional,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,2.227058129241664,24.68980021030494,8.049421661409044,33.00197496032446,0.08688767413154648,0.25326165522226235,0.21658306285039836,0.2822366479787548,,,,,,
34,2023,2023-08-08,21:00,Tue,Away,Darío Herrera,River Plate,br Internacional,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,2.227058129241664,24.68980021030494,8.049421661409044,33.00197496032446,0.08688767413154648,0.25326165522226235,0.21658306285039836,0.2822366479787548,,,,,,
35,2023,2023-01-28,19:15,Sat,Home,Hernán Mastrángelo,Talleres,Independiente,4-2-3-1,L,61.0,0.0,0.0,0.0,7.0,1.0,14.3,0.0,0.0,0.0,0.0,,,,,,
36,2023,2023-02-05,21:30,Sun,Away,Maximiliano Ramírez,Talleres,Tucumán,4-4-2,W,47.0,2.0,2.0,2.0,9.0,2.0,22.2,0.22,1.0,0.0,0.0,,,,,,
37,2023,2023-02-11,21:30,Sat,Home,Darío Herrera,Talleres,Boca Juniors,4-2-3-1,W,45.0,2.0,2.0,1.0,18.0,3.0,16.7,0.06,0.33,0.0,0.0,,,,,,
38,2023,2023-02-19,21:30,Sun,Home,Luis Lobo Medina,Talleres,CC Córdoba,4-2-3-1,W,56.0,2.0,2.0,2.0,20.0,6.0,30.0,0.1,0.33,0.0,0.0,,,,,,
39,2023,2023-02-25,19:15,Sat,Away,Hernán Mastrángelo,Talleres,Platense,4-2-3-1,W,49.0,4.0,4.0,4.0,11.0,7.0,63.6,0.36,0.57,0.0,0.0,,,,,,
40,2023,2023-03-05,21:30,Sun,Home,Andrés Merlos,Talleres,Vélez Sarsf,4-2-3-1,L,43.0,1.0,1.0,1.0,7.0,2.0,28.6,0.14,0.5,0.0,0.0,,,,,,
41,2023,2023-03-11,19:15,Sat,Away,Fernando Rapallini,Talleres,Defensa y Just,4-2-3-1,D,40.0,1.0,1.0,1.0,9.0,2.0,22.2,0.11,0.5,0.0,0.0,,,,,,
42,2023,2023-03-19,21:30,Sun,Home,Darío Herrera,Talleres,Banfield,4-2-3-1,L,63.0,0.0,0.0,0.0,18.0,7.0,38.9,0.0,0.0,0.0,0.0,,,,,,
43,2023,2023-04-02,16:30,Sun,Away,Facundo Tello,Talleres,Instituto Atlético Central Córdoba,4-2-3-1,W,42.0,3.0,3.0,3.0,8.0,4.0,50.0,0.38,0.75,0.0,0.0,,,,,,
44,2023,2023-04-07,21:30,Fri,Home,Pablo Dóvalo,Talleres,Barracas Central,4-2-3-1,W,47.0,3.0,3.0,3.0,12.0,5.0,41.7,0.25,0.6,0.0,0.0,,,,,,
45,2023,2023-04-13,16:30,Thu,Away,Sebastián Martinez,Talleres,Colón,4-2-3-1,D,63.0,2.0,2.0,2.0,13.0,6.0,46.2,0.15,0.33,0.0,0.0,,,,,,
46,2023,2023-04-16,21:30,Sun,Home,Fernando Rapallini,Talleres,San Lorenzo,4-2-3-1,D,53.0,0.0,0.0,0.0,18.0,4.0,22.2,0.0,0.0,0.0,1.0,,,,,,
47,2023,2023-04-23,18:00,Sun,Away,Leandro Rey Hilfer,Talleres,Estudiantes,4-2-3-1,L,55.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.25326165522226235,0.0,0.0,,,,,,
48,2023,2023-04-30,20:30,Sun,Home,Yael Falcón,Talleres,Rosario Cent,4-2-3-1,W,43.0,3.0,3.0,3.0,18.0,7.0,38.9,0.17,0.43,0.0,0.0,,,,,,
49,2023,2023-05-08,19:30,Mon,Away,Facundo Tello,Talleres,Racing Club,4-2-3-1,W,36.0,4.0,4.0,4.0,18.0,7.0,38.9,0.17,0.43,1.0,1.0,,,,,,
50,2023,2023-05-14,21:30,Sun,Home,Nicolás Ramírez,Talleres,River Plate,4-2-3-1,W,34.0,2.0,2.0,2.0,11.0,4.0,36.4,0.18,0.5,0.0,0.0,,,,,,
51,2023,2023-05-21,15:30,Sun,Away,Fernando Rapallini,Talleres,Club Atlético Belgrano,4-2-3-1,D,59.0,1.0,1.0,1.0,14.0,5.0,35.7,0.07,0.2,0.0,1.0,,,,,,
52,2023,2023-05-28,16:30,Sun,Home,Darío Herrera,Talleres,Argentinos Jun,4-2-3-1,W,41.0,1.0,1.0,1.0,12.0,3.0,25.0,0.08,0.33,0.0,0.0,,,,,,
53,2023,2023-06-02,21:30,Fri,Away,Andrés Merlos,Talleres,Tigre,4-2-3-1,W,50.0,3.0,3.0,3.0,21.0,7.0,33.3,0.14,0.43,0.0,0.0,,,,,,
54,2023,2023-06-10,21:30,Sat,Home,Hernán Mastrángelo,Talleres,Arsenal,4-2-3-1,W,54.0,1.0,1.0,1.0,10.0,4.0,40.0,0.1,0.25,0.0,0.0,,,,,,
55,2023,2023-06-24,20:00,Sat,Away,Fernando Rapallini,Talleres,Lanús,4-2-3-1,L,43.0,1.0,1.0,1.0,13.0,2.0,15.4,0.08,0.5,0.0,0.0,,,,,,
56,2023,2023-07-01,21:30,Sat,Home,Jorge Baliño,Talleres,Godoy Cruz,4-2-3-1,D,54.0,1.0,1.0,1.0,17.0,6.0,35.3,0.06,0.17,0.0,0.0,,,,,,
57,2023,2023-07-06,19:00,Thu,Away,Sebastián Martinez,Talleres,Sarmiento,4-2-3-1,W,58.0,1.0,1.0,1.0,10.0,5.0,50.0,0.1,0.2,0.0,0.0,,,,,,
58,2023,2023-07-10,21:30,Mon,Home,Nicolás Lamolina,Talleres,CA Unión,4-2-3-1,D,59.0,0.0,0.0,0.0,19.0,5.0,26.3,0.0,0.0,0.0,0.0,,,,,,
59,2023,2023-07-14,21:30,Fri,Away,Fernando Echenique,Talleres,CA Huracán,4-2-3-1,W,53.0,1.0,1.0,1.0,15.0,3.0,20.0,0.07,0.33,0.0,0.0,,,,,,
60,2023,2023-07-23,nan,Sun,Home,Darío Herrera,Talleres,Gimnasia ELP,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,38.0,332.0,107.0,32.2,0.11,0.35,1.0,3.0,,,,,,
61,2023,2023-07-30,nan,Sun,Away,Darío Herrera,Talleres,Newell's OB,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,2.227058129241664,24.68980021030494,8.049421661409044,33.00197496032446,0.08688767413154648,0.25326165522226235,0.21658306285039836,0.2822366479787548,,,,,,
62,2023,2023-01-28,17:00,Sat,Home,Fernando Echenique,San Lorenzo,Arsenal,3-4-3,W,45.0,1.0,1.0,1.0,11.0,3.0,27.3,0.09,0.33,0.0,0.0,,,,,,
63,2023,2023-02-04,21:30,Sat,Away,Facundo Tello,San Lorenzo,Lanús,3-4-3,L,51.0,1.0,1.0,1.0,25.0,3.0,12.0,0.04,0.33,0.0,0.0,,,,,,
64,2023,2023-02-11,17:00,Sat,Home,Nazareno Arasa,San Lorenzo,Godoy Cruz,3-4-3,W,50.0,1.0,1.0,1.0,10.0,4.0,40.0,0.0,0.0,1.0,1.0,,,,,,
65,2023,2023-02-20,19:15,Mon,Away,Darío Herrera,San Lorenzo,Sarmiento,3-4-3◆,W,53.0,1.0,1.0,1.0,10.0,5.0,50.0,0.1,0.2,0.0,0.0,,,,,,
66,2023,2023-02-25,17:00,Sat,Home,Ariel Penel,San Lorenzo,CA Unión,3-4-1-2,W,41.0,1.0,1.0,1.0,13.0,3.0,23.1,0.08,0.33,0.0,0.0,,,,,,
67,2023,2023-03-05,19:15,Sun,Away,Facundo Tello,San Lorenzo,CA Huracán,3-4-3,D,40.0,1.0,1.0,1.0,7.0,3.0,42.9,0.14,0.33,0.0,0.0,,,,,,
68,2023,2023-03-11,17:00,Sat,Home,Pablo Echavarría,San Lorenzo,Gimnasia ELP,3-4-3,W,60.0,4.0,4.0,4.0,14.0,5.0,35.7,0.21,0.6,1.0,1.0,,,,,,
69,2023,2023-03-20,18:30,Mon,Away,Andrés Merlos,San Lorenzo,Newell's OB,3-4-3,L,36.0,0.0,0.0,0.0,6.0,1.0,16.7,0.0,0.0,0.0,0.0,,,,,,
70,2023,2023-04-01,19:00,Sat,Home,Leandro Rey Hilfer,San Lorenzo,Independiente,3-4-3,D,61.0,0.0,0.0,0.0,14.0,6.0,42.9,0.0,0.0,0.0,0.0,,,,,,
71,2023,2023-04-04,20:00,Tue,Away,Roberto Sánchez,San Lorenzo,ve Estud Mérida,3-4-3,W,39.0,1.0,1.0,1.0,17.0,7.0,41.2,0.06,0.14,0.0,0.0,,,,,,
72,2023,2023-04-08,20:30,Sat,Away,Fernando Espinoza,San Lorenzo,Tucumán,5-4-1,W,58.0,3.0,3.0,3.0,15.0,6.0,40.0,0.2,0.5,0.0,0.0,,,,,,
73,2023,2023-04-12,17:30,Wed,Home,Facundo Tello,San Lorenzo,Boca Juniors,3-4-3,W,43.0,1.0,1.0,0.0,9.0,4.0,44.4,0.0,0.0,0.0,0.0,,,,,,
74,2023,2023-04-16,21:30,Sun,Away,Fernando Rapallini,San Lorenzo,Talleres,3-4-3,D,47.0,0.0,0.0,0.0,5.0,1.0,20.0,0.0,0.0,0.0,0.0,,,,,,
75,2023,2023-04-20,19:00,Thu,Home,Esteban Ostojich,San Lorenzo,br Fortaleza,3-4-3,L,58.0,0.0,0.0,0.0,9.0,3.0,33.3,0.0,0.0,0.0,0.0,,,,,,
76,2023,2023-04-23,11:00,Sun,Home,Yael Falcón,San Lorenzo,Platense,3-4-3,W,53.0,1.0,1.0,1.0,9.0,2.0,22.2,0.11,0.5,0.0,0.0,,,,,,
77,2023,2023-04-29,14:00,Sat,Away,Hernán Mastrángelo,San Lorenzo,Vélez Sarsf,3-4-3,D,45.0,0.0,0.0,0.0,12.0,3.0,25.0,0.0,0.0,0.0,0.0,,,,,,
78,2023,2023-05-03,18:00,Wed,Away,Carlos Betancourt,San Lorenzo,cl Palestino,3-4-3,D,48.0,0.0,0.0,0.0,8.0,3.0,37.5,0.0,0.0,0.0,0.0,,,,,,
79,2023,2023-05-08,17:00,Mon,Home,Pablo Dóvalo,San Lorenzo,Defensa y Just,3-4-3,D,47.0,0.0,0.0,0.0,11.0,3.0,27.3,0.0,0.0,0.0,0.0,,,,,,
80,2023,2023-05-13,18:00,Sat,Away,Fernando Echenique,San Lorenzo,Banfield,3-4-3,W,49.0,2.0,2.0,2.0,8.0,4.0,50.0,0.25,0.5,0.0,0.0,,,,,,
81,2023,2023-05-20,14:00,Sat,Home,Nicolás Ramírez,San Lorenzo,Instituto Atlético Central Córdoba,3-4-3,W,45.0,2.0,2.0,2.0,9.0,5.0,55.6,0.0,0.0,2.0,2.0,,,,,,
82,2023,2023-05-24,19:00,Wed,Away,Gustavo Tejera,San Lorenzo,br Fortaleza,3-4-3,L,40.0,2.0,2.0,2.0,11.0,7.0,63.6,0.18,0.29,0.0,0.0,,,,,,
83,2023,2023-05-28,14:00,Sun,Away,Pablo Echavarría,San Lorenzo,Barracas Central,3-4-3,L,54.0,0.0,0.0,0.0,10.0,4.0,40.0,0.0,0.0,0.0,0.0,,,,,,
84,2023,2023-06-04,14:00,Sun,Home,Darío Herrera,San Lorenzo,Colón,3-4-3◆,D,52.0,0.0,0.0,0.0,12.0,2.0,16.7,0.0,0.0,0.0,0.0,,,,,,
85,2023,2023-06-08,21:00,Thu,Home,Diego Haro,San Lorenzo,cl Palestino,3-4-3,D,60.0,0.0,0.0,0.0,19.0,6.0,31.6,0.0,0.0,0.0,0.0,,,,,,
86,2023,2023-06-12,17:00,Mon,Home,Jorge Baliño,San Lorenzo,CC Córdoba,3-4-3,D,61.0,0.0,0.0,0.0,14.0,5.0,35.7,0.0,0.0,0.0,0.0,,,,,,
87,2023,2023-06-21,19:00,Wed,Away,Yael Falcón,San Lorenzo,Estudiantes,3-4-3,D,37.0,1.0,1.0,1.0,8.0,5.0,62.5,0.13,0.2,0.0,0.0,,,,,,
88,2023,2023-06-27,19:00,Tue,Home,Gery Vargas,San Lorenzo,ve Estud Mérida,3-4-3,W,59.0,4.0,4.0,4.0,19.0,9.0,47.4,0.16,0.33,1.0,1.0,,,,,,
89,2023,2023-07-01,17:30,Sat,Home,Fernando Echenique,San Lorenzo,Rosario Cent,3-4-3,W,38.0,1.0,1.0,1.0,11.0,3.0,27.3,0.09,0.33,0.0,0.0,,,,,,
90,2023,2023-07-05,19:30,Wed,Away,Hernán Mastrángelo,San Lorenzo,Racing Club,3-4-3,D,54.0,1.0,1.0,1.0,18.0,3.0,16.7,0.06,0.33,0.0,0.0,,,,,,
91,2023,2023-07-08,20:30,Sat,Home,Facundo Tello,San Lorenzo,River Plate,3-4-3,D,31.0,0.0,0.0,0.0,9.0,5.0,55.6,0.0,0.0,0.0,0.0,,,,,,
92,2023,2023-07-12,19:00,Wed,Away,Alexis Herrera,San Lorenzo,co Independiente,3-4-3,W,38.0,1.0,1.0,1.0,9.0,2.0,22.2,0.11,0.5,0.0,0.0,,,,,,
93,2023,2023-07-16,14:00,Sun,Away,Darío Herrera,San Lorenzo,Club Atlético Belgrano,3-4-3,W,36.0,1.0,1.0,1.0,2.0,1.0,50.0,0.5,1.0,0.0,0.0,,,,,,
94,2023,2023-07-19,21:00,Wed,Home,Darío Herrera,San Lorenzo,co Independiente,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,30.0,364.0,126.0,34.6,0.07,0.2,5.0,5.0,,,,,,
95,2023,2023-07-23,nan,Sun,Home,Darío Herrera,San Lorenzo,Argentinos Jun,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,2.227058129241664,24.68980021030494,8.049421661409044,33.00197496032446,0.08688767413154648,0.25326165522226235,0.21658306285039836,0.2822366479787548,,,,,,
96,2023,2023-07-30,nan,Sun,Away,Darío Herrera,San Lorenzo,Tigre,4-4-2,W,50.12571756601607,1.1385956860945388,1.1385956860945388,2.227058129241664,24.68980021030494,8.049421661409044,33.00197496032446,0.08688767413154648,0.25326165522226235,0.21658306285039836,0.2822366479787548,,,,,,
97,2023,2023-01-29,19:15,Sun,Away,Pablo Dóvalo,Lanus,Colón,4-2-3-1,W,39.0,2.0,2.0,2.0,14.0,5.0,35.7,0.14,0.4,0.0,0.0,,,,,,
98,2023,2023-02-04,21:30,Sat,Home,Facundo Tello,Lanus,San Lorenzo,4-2-3-1,W,49.0,2.0,2.0,2.0,8.0,6.0,75.0,0.13,0.17,1.0,1.0,,,,,,
99,2023,2023-02-13,20:00,Mon,Away,Nicolás Ramírez,Lanus,Estudiantes,4-3-3,W,33.0,2.0,2.0,2.0,5.0,2.0,40.0,0.4,1.0,0.0,0.0,,,,,,
100,2023,2023-02-18,17:00,Sat,Home,Nicolás Lamolina,Lanus,Rosario Cent,4-3-3,W,50.0,3.0,3.0,3.0,14.0,6.0,42.9,0.21,0.5,0.0,1.0,,,,,,
101,2023,2023-02-27,19:15,Mon,Away,Facundo Tello,Lanus,Racing Club,4-2-3-1,L,38.0,1.0,1.0,1.0,11.0,2.0,18.2,0.09,0.5,0.0,0.0,,,,,,
102,2023,2023-03-04,19:15,Sat,Home,Darío Herrera,Lanus,River Plate,4-2-3-1,L,48.0,0.0,0.0,0.0,13.0,3.0,23.1,0.0,0.0,0.0,0.0,,,,,,
