,year,date,time,day,venue,referee,team,opponent,formation,result,poss,gf,ga,gls,sh,sot,sot%,g/sh,g/sot,pk,pkatt,g-xg,xg,xga,np:g-xg,npxg,npxg/sh
0,2023,2023-04-06,20:00,Thu,Away,Christian Ferreyra,Botafogo RJ,cl Deportes Magallanes,4-2-3-1,D,50.0,2.0,2.0,2.0,14.0,5.0,35.7,0.14,0.4,0.0,0.0,,,,,,
1,2023,2023-04-15,18:30,Sat,Home,Ramon Abatti Abel,Botafogo RJ,São Paulo,4-2-3-1,W,33.0,2.0,2.0,2.0,12.0,3.0,25.0,0.17,0.67,0.0,0.0,1.1,0.9,2.0,1.1,0.9,0.07
2,2023,2023-04-20,21:00,Thu,Home,Maximiliano Ramírez,Botafogo RJ,pe U César Vallejo,4-2-3-1,W,70.0,4.0,4.0,4.0,24.0,9.0,37.5,0.08,0.22,2.0,2.0,,,,,,
3,2023,2023-04-24,20:00,Mon,Away,Raphael Claus,Botafogo RJ,Bahia,4-2-3-1,W,42.0,2.0,2.0,2.0,5.0,3.0,60.0,0.4,0.67,0.0,0.0,1.8,0.2,0.9,1.8,0.2,0.04
4,2023,2023-04-30,16:00,Sun,Away,Edina Alves Batista,Botafogo RJ,Flamengo,4-2-3-1,W,26.0,3.0,3.0,3.0,11.0,5.0,45.5,0.18,0.4,1.0,1.0,1.1,1.9,3.1,0.9,1.1,0.16
5,2023,2023-05-04,21:00,Thu,Home,Darío Herrera,Botafogo RJ,ec LDU de Quito,4-2-3-1,D,54.0,0.0,0.0,0.0,16.0,6.0,37.5,0.0,0.0,0.0,0.0,,,,,,
6,2023,2023-05-07,18:30,Sun,Home,Flavio Rodrigues de Souza,Botafogo RJ,Atlético Mineiro,4-2-3-1,W,39.0,2.0,2.0,2.0,22.0,7.0,31.8,0.09,0.29,0.0,0.0,0.0,2.0,0.5,0.0,2.0,0.09
7,2023,2023-05-11,19:30,Thu,Home,Anderson Daronco,Botafogo RJ,Corinthians,4-2-3-1,W,53.0,3.0,3.0,3.0,15.0,5.0,33.3,0.13,0.4,1.0,1.0,0.4,2.6,0.6,0.2,1.8,0.13
8,2023,2023-05-14,18:30,Sun,Away,Rafael Rodrigo Klein,Botafogo RJ,Goiás,4-2-3-1,L,53.0,1.0,1.0,1.0,16.0,1.0,6.3,0.0,0.0,1.0,1.0,-0.5,1.5,1.9,-0.8,0.8,0.05
9,2023,2023-05-20,18:30,Sat,Home,Braulio da Silva Machado,Botafogo RJ,Fluminense,4-2-3-1,W,35.0,1.0,1.0,1.0,21.0,7.0,33.3,0.05,0.14,0.0,0.0,-0.4,1.4,0.9,-0.4,1.4,0.07
10,2023,2023-05-25,19:00,Thu,Away,Facundo Tello,Botafogo RJ,pe U César Vallejo,4-2-3-1,W,51.0,3.0,3.0,3.0,10.0,3.0,30.0,0.3,1.0,0.0,0.0,,,,,,
11,2023,2023-05-28,19:00,Sun,Home,Raphael Claus,Botafogo RJ,América (MG),4-2-3-1,W,55.0,2.0,2.0,2.0,18.0,6.0,33.3,0.11,0.33,0.0,0.0,-0.1,2.1,0.4,-0.1,2.1,0.12
