,year,date,time,day,venue,referee,team,opponent,formation,result,poss,gf,ga,gls,sh,sot,sot%,g/sh,g/sot,pk,pkatt
0,2023,2023-04-15,16:00,Sat,Home,Leo Simão Holanda,Vila Nova,Grêmio Novorizontino,4-3-3,W,50.0,2.0,2.0,2.0,17.0,5.0,29.4,0.12,0.4,0.0,0.0
1,2023,2023-04-30,18:15,Sun,Home,Diego Pombo Lopez,Vila Nova,Juventude,4-3-3,W,37.0,1.0,1.0,1.0,16.0,2.0,12.5,0.06,0.5,0.0,0.0
2,2023,2023-05-03,21:15,Wed,Away,Vinicius Gonçalves Dias Araujo,Vila Nova,Avaí,4-3-3,W,28.0,3.0,3.0,3.0,15.0,5.0,33.3,0.2,0.6,0.0,0.0
3,2023,2023-05-06,18:15,Sat,Away,Caio Max Augusto Vieira,Vila Nova,Mirassol Futebol Clube,4-3-3,D,38.0,1.0,1.0,1.0,18.0,7.0,38.9,0.06,0.14,0.0,0.0
4,2023,2023-05-12,19:00,Fri,Home,André Luiz Skettino Policarpo Bento,Vila Nova,Criciúma,4-2-3-1,D,56.0,0.0,0.0,0.0,25.0,6.0,24.0,0.0,0.0,0.0,0.0
5,2023,2023-05-21,18:15,Sun,Away,Dyorgines José Padovani Andrade,Vila Nova,CRB,4-3-3,W,68.0,3.0,3.0,3.0,26.0,10.0,38.5,0.12,0.3,0.0,0.0
6,2023,2023-05-24,19:00,Wed,Home,Lucas Paulo Torezin,Vila Nova,Ituano,4-4-2,W,39.0,1.0,1.0,1.0,22.0,6.0,27.3,0.05,0.17,0.0,1.0
7,2023,2023-05-28,11:00,Sun,Away,Bruno Mota Correia,Vila Nova,Ponte Preta,4-4-2,L,53.0,0.0,0.0,0.0,12.0,1.0,8.3,0.0,0.0,0.0,0.0
8,2023,2023-06-03,19:00,Sat,Home,Leonardo Ferreira Lima,Vila Nova,Sampaio Corrêa,4-4-2,W,38.0,3.0,3.0,3.0,9.0,3.0,33.3,0.33,1.0,0.0,0.0
9,2023,2023-06-06,19:00,Tue,Away,Douglas Marques das Flores,Vila Nova,Chapecoense,4-4-2,W,49.0,1.0,1.0,1.0,23.0,10.0,43.5,0.04,0.1,0.0,0.0
10,2023,2023-06-10,16:00,Sat,Home,Caio Max Augusto Vieira,Vila Nova,Guarani,4-4-2,D,44.0,0.0,0.0,0.0,26.0,6.0,23.1,0.0,0.0,0.0,0.0
11,2023,2023-06-18,18:00,Sun,Away,Paulo Cesar Zanovelli da Silva,Vila Nova,Sport Recife,4-2-3-1,L,57.0,0.0,0.0,0.0,15.0,4.0,26.7,0.0,0.0,0.0,0.0
12,2023,2023-06-24,11:00,Sat,Away,Felipe Fernandes de Lima,Vila Nova,Botafogo (SP),4-4-1-1,W,40.0,3.0,3.0,3.0,10.0,5.0,50.0,0.3,0.6,0.0,0.0
13,2023,2023-06-27,21:30,Tue,Home,Arthur Gomes Rabelo,Vila Nova,Tombense Futebol Clube,4-4-1-1,W,66.0,1.0,1.0,1.0,29.0,6.0,20.7,0.03,0.17,0.0,0.0
14,2023,2023-07-01,16:00,Sat,Away,Luiz Flávio de Oliveira,Vila Nova,Atl Goianiense,4-2-3-1,D,38.0,1.0,1.0,1.0,14.0,7.0,50.0,0.07,0.14,0.0,0.0
15,2023,2023-07-10,20:00,Mon,Home,Matheus Delgado Candançan,Vila Nova,Vitória,4-4-2,W,44.0,1.0,1.0,1.0,22.0,3.0,13.6,0.05,0.33,0.0,0.0
16,2023,2023-07-15,17:00,Sat,Away,Caio Max Augusto Vieira,Vila Nova,Londrina,4-3-3,L,63.0,0.0,0.0,0.0,19.0,7.0,36.8,0.0,0.0,0.0,0.0
17,2023,2023-07-19,21:30,Wed,Away,Diego Pombo Lopez,Vila Nova,Ceará,4-2-3-1,W,50.04252873563218,1.0607798165137614,1.0607798165137614,21.0,318.0,93.0,29.2,0.07,0.23,0.0,1.0
18,2023,2023-07-21,nan,Fri,Home,Diego Pombo Lopez,Vila Nova,ABC,4-2-3-1,W,50.04252873563218,1.0607798165137614,1.0607798165137614,2.05526706231454,25.924703264094955,7.919510385756676,31.216951672862457,0.07749814126394051,0.2390967741935484,0.20252225519287834,0.2629821958456973
19,2023,2023-07-25,nan,Tue,Away,Diego Pombo Lopez,Vila Nova,Grêmio Novorizontino,4-2-3-1,W,50.04252873563218,1.0607798165137614,1.0607798165137614,2.05526706231454,25.924703264094955,7.919510385756676,31.216951672862457,0.07749814126394051,0.2390967741935484,0.20252225519287834,0.2629821958456973
20,2023,2023-08-01,nan,Tue,Home,Diego Pombo Lopez,Vila Nova,Sport Recife,4-2-3-1,W,50.04252873563218,1.0607798165137614,1.0607798165137614,2.05526706231454,25.924703264094955,7.919510385756676,31.216951672862457,0.07749814126394051,0.2390967741935484,0.20252225519287834,0.2629821958456973
21,2023,2023-08-04,nan,Fri,Away,Diego Pombo Lopez,Vila Nova,Juventude,4-2-3-1,W,50.04252873563218,1.0607798165137614,1.0607798165137614,2.05526706231454,25.924703264094955,7.919510385756676,31.216951672862457,0.07749814126394051,0.2390967741935484,0.20252225519287834,0.2629821958456973
22,2023,2023-08-08,nan,Tue,Home,Diego Pombo Lopez,Vila Nova,Avaí,4-2-3-1,W,50.04252873563218,1.0607798165137614,1.0607798165137614,2.05526706231454,25.924703264094955,7.919510385756676,31.216951672862457,0.07749814126394051,0.2390967741935484,0.20252225519287834,0.2629821958456973
