,year,date,time,day,venue,referee,team,opponent,formation,result,poss,gf,ga,gls,sh,sot,sot%,g/sh,g/sot,pk,pkatt,g-xg,xg,xga,np:g-xg,npxg,npxg/sh
0,2023,2023-08-19,20:45,Sat,Home,Andrea Colombo,Internazionale,Monza,3-5-2,W,47.0,2.0,2.0,2.0,22.0,3.0,13.6,0.09,0.67,0.0,0.0,-0.7,2.7,0.8,-0.7,2.7,0.12
1,2023,2023-08-28,20:45,Mon,Away,Michael Fabbri,Internazionale,Cagliari,3-5-2,W,67.0,2.0,2.0,2.0,17.0,3.0,17.6,0.12,0.67,0.0,0.0,1.1,0.9,0.6,1.1,0.9,0.05
2,2023,2023-09-03,18:30,Sun,Home,Matteo Marchetti,Internazionale,Fiorentina,3-5-2,W,40.0,4.0,4.0,4.0,20.0,10.0,50.0,0.15,0.3,1.0,1.0,0.3,3.7,0.4,0.1,2.9,0.15
3,2023,2023-09-16,18:00,Sat,Home,Daniele Doveri,Internazionale,Milan,4-3-3,W,50.188733125649016,1.414505283381364,1.414505283381364,8.0,59.0,16.0,27.1,0.12,0.44,1.0,1.0,0.7,,,0.5,6.5,0.11
4,2023,2023-09-20,21:00,Wed,Away,Daniele Doveri,Internazionale,es Real Sociedad,4-3-3,W,50.188733125649016,1.414505283381364,1.414505283381364,2.678437967115097,25.356114092064388,8.34340581756566,33.403083700440526,0.10277675145658662,0.2974037339556593,0.26831091180866967,0.3490358799121308,,,,,,
5,2023,2023-09-24,nan,Sun,Away,Daniele Doveri,Internazionale,Empoli,4-3-3,W,50.188733125649016,1.414505283381364,1.414505283381364,2.678437967115097,25.356114092064388,8.34340581756566,33.403083700440526,0.10277675145658662,0.2974037339556593,0.26831091180866967,0.3490358799121308,,,,,,
6,2023,2023-09-27,nan,Wed,Home,Daniele Doveri,Internazionale,Sassuolo,4-3-3,W,50.188733125649016,1.414505283381364,1.414505283381364,2.678437967115097,25.356114092064388,8.34340581756566,33.403083700440526,0.10277675145658662,0.2974037339556593,0.26831091180866967,0.3490358799121308,,,,,,
7,2023,2023-10-01,nan,Sun,Away,Daniele Doveri,Internazionale,Salernitana,4-3-3,W,50.188733125649016,1.414505283381364,1.414505283381364,2.678437967115097,25.356114092064388,8.34340581756566,33.403083700440526,0.10277675145658662,0.2974037339556593,0.26831091180866967,0.3490358799121308,,,,,,
8,2023,2023-10-03,21:00,Tue,Home,Daniele Doveri,Internazionale,pt Benfica,4-3-3,W,50.188733125649016,1.414505283381364,1.414505283381364,2.678437967115097,25.356114092064388,8.34340581756566,33.403083700440526,0.10277675145658662,0.2974037339556593,0.26831091180866967,0.3490358799121308,,,,,,
9,2023,2023-10-08,nan,Sun,Home,Daniele Doveri,Internazionale,Bologna,4-3-3,W,50.188733125649016,1.414505283381364,1.414505283381364,2.678437967115097,25.356114092064388,8.34340581756566,33.403083700440526,0.10277675145658662,0.2974037339556593,0.26831091180866967,0.3490358799121308,,,,,,
