,year,date,time,day,venue,referee,team,opponent,formation,result,poss,gf,ga,gls,sh,sot,sot%,g/sh,g/sot,pk,pkatt,g-xg,xg,xga,np:g-xg,npxg,npxg/sh
0,2023,2023-08-10,22:00,Thu,Home,Glenn Nyberg,Olympiacos,be Genk,4-3-3,W,48.54651162790697,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,,,,,,
1,2023,2023-08-17,20:00,Thu,Away,Tobias Stieler,Olympiacos,be Genk,4-2-3-1,D,48.54651162790697,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,,,,,,
2,2023,2023-08-20,22:00,Sun,Home,Ioannis Papadopoulos,Olympiacos,Panserraikos,4-2-3-1,W,48.54651162790697,2.0,2.0,2.0,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,1.0,1.0,,,,,,
3,2023,2023-08-24,22:00,Thu,Home,Donatas Rumšas,Olympiacos,rs Čukarički,4-2-3-1,W,67.0,3.0,3.0,3.0,3.0,3.0,100.0,1.0,1.0,0.0,0.0,,,,,,
4,2023,2023-08-27,21:30,Sun,Home,Konstantinos Perrakis,Olympiacos,Atromitos,4-2-3-1,W,48.54651162790697,4.0,4.0,4.0,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.0,0.0,,,,,,
5,2023,2023-08-31,20:00,Thu,Away,Danny Makkelie,Olympiacos,rs Čukarički,4-2-3-1,W,70.0,3.0,3.0,3.0,23.0,9.0,39.1,0.13,0.33,0.0,0.0,,,,,,
6,2023,2023-09-03,20:00,Sun,Home,Spyridon Zampalas,Olympiacos,PAS Lamia,4-2-3-1,W,48.54651162790697,4.0,4.0,3.0,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.0,0.0,,,,,,
7,2023,2023-09-16,nan,Sat,Away,Anastasios Papapetrou,Olympiacos,AEK Athens,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,17.0,28.0,14.0,50.0,0.29,0.57,1.0,1.0,,,,,,
8,2023,2023-09-21,22:00,Thu,Home,Anastasios Papapetrou,Olympiacos,de Freiburg,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
9,2023,2023-09-23,nan,Sat,Home,Anastasios Papapetrou,Olympiacos,AO Kifisia,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
10,2023,2023-09-27,nan,Wed,Home,Anastasios Papapetrou,Olympiacos,Aris,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
11,2023,2023-09-30,nan,Sat,Away,Anastasios Papapetrou,Olympiacos,PAS Giannina,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
12,2023,2023-10-05,18:45,Thu,Away,Anastasios Papapetrou,Olympiacos,rs TSC Bačka Top,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
13,2023,2023-10-21,nan,Sat,Home,Anastasios Papapetrou,Olympiacos,Panathinaikos,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
14,2023,2023-10-26,19:45,Thu,Home,Anastasios Papapetrou,Olympiacos,eng West Ham,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
15,2023,2023-10-28,nan,Sat,Away,Anastasios Papapetrou,Olympiacos,OFI Crete,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
16,2023,2023-11-04,nan,Sat,Home,Anastasios Papapetrou,Olympiacos,PAOK,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
17,2023,2023-11-09,20:00,Thu,Away,Anastasios Papapetrou,Olympiacos,eng West Ham,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
18,2023,2023-11-11,nan,Sat,Away,Anastasios Papapetrou,Olympiacos,Asteras Tripoli,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
19,2023,2023-11-25,nan,Sat,Home,Anastasios Papapetrou,Olympiacos,Panetolikos,4-2-3-1,L,48.54651162790697,1.1529523357837326,1.1529523357837326,2.1742528735632183,3.070261437908497,1.0032679738562091,38.37033492822966,0.28660287081339714,0.49707070707070705,0.24045977011494252,0.3117241379310345,,,,,,
