,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
0,2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,W,8.0,0.0,FC Teutonia Ottensen,,,66.0,,Lukáš Hrádecký,4-2-3-1,Tom Bauer,Match Report,,,,,0.32,0.64,8.0,1.0,1.0,22.0,11.0,50.0,,,,2023,Bayer Leverkusen
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3.0,2.0,RB Leipzig,1.4,1.6,44.0,29464.0,Lukáš Hrádecký,3-4-3,Felix Brych,Match Report,,19.0,0.0,1.6,0.27,0.43,3.0,0.0,0.0,11.0,7.0,63.6,1.6,1.4,0.13,2023,Bayer Leverkusen
2,2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Away,W,3.0,0.0,M'Gladbach,2.7,0.9,60.0,54042.0,Lukáš Hrádecký,3-4-3,Christian Dingert,Match Report,,15.8,0.0,0.3,0.13,0.27,3.0,0.0,0.0,24.0,11.0,45.8,0.3,2.7,0.11,2023,Bayer Leverkusen
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,5.0,1.0,Darmstadt 98,2.8,0.4,72.0,29653.0,Lukáš Hrádecký,3-4-3,Sven Jablonski,Match Report,,17.3,1.0,2.2,0.2,0.38,5.0,0.0,0.0,25.0,13.0,52.0,2.2,2.8,0.11,2023,Bayer Leverkusen
4,2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Away,,,,Bayern Munich,,,,,,,,Head-to-Head,,17.0,1.0,12.0,0.22,0.43,19.0,1.0,1.0,82.0,42.0,51.2,11.0,7.0,0.12,2023,Bayer Leverkusen
5,2023-09-21,18:45,Europa Lg,Group stage,Thu,Home,,,,se Häcken,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
6,2023-09-24,15:30,Bundesliga,Matchweek 5,Sun,Home,,,,Heidenheim,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
7,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,,,,Mainz 05,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
8,2023-10-05,21:00,Europa Lg,Group stage,Thu,Away,,,,no Molde,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
9,2023-10-08,15:30,Bundesliga,Matchweek 7,Sun,Home,,,,Köln,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
10,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,,,,Wolfsburg,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
11,2023-10-26,21:00,Europa Lg,Group stage,Thu,Home,,,,az Qarabağ Ağdam,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
12,2023-10-28,,Bundesliga,Matchweek 9,Sat,Home,,,,Freiburg,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
13,2023-11-04,,Bundesliga,Matchweek 10,Sat,Away,,,,Hoffenheim,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
14,2023-11-09,21:45,Europa Lg,Group stage,Thu,Away,,,,az Qarabağ Ağdam,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
15,2023-11-11,,Bundesliga,Matchweek 11,Sat,Home,,,,Union Berlin,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Bayer Leverkusen
