,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
0,2023-08-12,21:30,La Liga,Matchweek 1,Sat,Away,W,2.0,0.0,Athletic Club,0.9,0.4,54.0,48927.0,Dani Carvajal,4-1-2-1-2◆,Jesús Gil,Match Report,,16.0,2.0,1.1,0.14,0.25,2.0,0.0,0.0,14.0,8.0,57.1,1.1,0.9,0.07,2023,Real Madrid
1,2023-08-19,19:30,La Liga,Matchweek 2,Sat,Away,W,3.0,1.0,Almería,2.0,1.3,57.0,17561.0,Dani Carvajal,4-3-1-2,José Sánchez,Match Report,,17.0,1.0,1.0,0.12,0.33,3.0,0.0,0.0,25.0,9.0,36.0,1.0,2.0,0.08,2023,Real Madrid
2,2023-08-25,21:30,La Liga,Matchweek 3,Fri,Away,W,1.0,0.0,Celta Vigo,1.4,1.2,63.0,23057.0,Dani Carvajal,4-1-2-1-2◆,Isidro Díaz de Mera,Match Report,,19.4,0.0,-0.4,0.11,0.5,1.0,0.0,1.0,9.0,2.0,22.2,0.4,0.6,0.06,2023,Real Madrid
3,2023-09-02,16:15,La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,Getafe,2.8,0.4,76.0,66747.0,Luka Modrić,4-3-1-2,Mario Melero,Match Report,,17.7,0.0,-0.8,0.08,0.17,2.0,0.0,0.0,26.0,12.0,46.2,-0.8,2.8,0.11,2023,Real Madrid
4,2023-09-17,21:00,La Liga,Matchweek 5,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,,17.3,3.0,0.9,0.11,0.26,8.0,0.0,1.0,74.0,31.0,41.9,1.7,6.3,0.09,2023,Real Madrid
5,2023-09-20,18:45,Champions Lg,Group stage,Wed,Home,,,,de Union Berlin,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
6,2023-09-24,,La Liga,Matchweek 6,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
7,2023-09-27,,La Liga,Matchweek 7,Wed,Home,,,,Las Palmas,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
8,2023-10-01,,La Liga,Matchweek 8,Sun,Away,,,,Girona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
9,2023-10-03,21:00,Champions Lg,Group stage,Tue,Away,,,,it Napoli,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
10,2023-10-08,,La Liga,Matchweek 9,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
11,2023-10-22,,La Liga,Matchweek 10,Sun,Away,,,,Sevilla,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
12,2023-10-24,20:00,Champions Lg,Group stage,Tue,Away,,,,pt Braga,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
13,2023-10-29,,La Liga,Matchweek 11,Sun,Away,,,,Barcelona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
14,2023-11-05,,La Liga,Matchweek 12,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
15,2023-11-08,21:00,Champions Lg,Group stage,Wed,Home,,,,pt Braga,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
16,2023-11-12,,La Liga,Matchweek 13,Sun,Home,,,,Valencia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
17,2023-11-26,,La Liga,Matchweek 14,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
18,2023-11-29,21:00,Champions Lg,Group stage,Wed,Home,,,,it Napoli,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
19,2023-12-03,,La Liga,Matchweek 15,Sun,Home,,,,Granada,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
20,2023-12-10,,La Liga,Matchweek 16,Sun,Away,,,,Betis,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
21,2023-12-12,21:00,Champions Lg,Group stage,Tue,Away,,,,de Union Berlin,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
22,2023-12-17,,La Liga,Matchweek 17,Sun,Home,,,,Villarreal,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
23,2023-12-20,,La Liga,Matchweek 18,Wed,Away,,,,Alavés,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
24,2024-01-03,,La Liga,Matchweek 19,Wed,Home,,,,Mallorca,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
25,2024-01-14,,La Liga,Matchweek 20,Sun,Away,,,,Getafe,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
26,2024-01-21,,La Liga,Matchweek 21,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
27,2024-01-28,,La Liga,Matchweek 22,Sun,Away,,,,Las Palmas,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
28,2024-02-04,,La Liga,Matchweek 23,Sun,Home,,,,Atlético Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
