,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
0,2023-08-13,15:00,Ligue 1,Matchweek 1,Sun,Away,W,4.0,2.0,Clermont Foot,2.5,1.8,45.0,,Wissam Ben Yedder,3-4-3,François Letexier,Match Report,,14.7,0.0,1.5,0.29,0.5,4.0,0.0,0.0,14.0,8.0,57.1,1.5,2.5,0.18,2023,Monaco
1,2023-08-20,19:00,Ligue 1,Matchweek 2,Sun,Home,W,3.0,0.0,Strasbourg,0.9,0.5,56.0,,Wissam Ben Yedder,3-4-3,Ruddy Buquet,Match Report,,18.1,0.0,2.1,0.33,0.75,3.0,0.0,0.0,9.0,4.0,44.4,2.1,0.9,0.1,2023,Monaco
2,2023-08-25,21:00,Ligue 1,Matchweek 3,Fri,Away,D,3.0,3.0,Nantes,3.3,1.0,65.0,,Wissam Ben Yedder,3-4-3,Jérémie Pignard,Match Report,,17.4,1.0,-0.3,0.11,0.33,3.0,0.0,0.0,27.0,9.0,33.3,-0.3,3.3,0.14,2023,Monaco
3,2023-09-02,21:00,Ligue 1,Matchweek 4,Sat,Home,W,3.0,0.0,Lens,0.9,0.6,52.0,,Wissam Ben Yedder,3-4-3,Willy Delajod,Match Report,,19.0,0.0,2.1,0.25,0.5,3.0,0.0,0.0,12.0,6.0,50.0,2.1,0.9,0.08,2023,Monaco
4,2023-09-17,13:00,Ligue 1,Matchweek 5,Sun,Away,,,,Lorient,,,,,,,,Head-to-Head,,17.2,1.0,5.5,0.21,0.48,13.0,0.0,0.0,62.0,27.0,43.5,5.5,7.5,0.13,2023,Monaco
5,2023-09-22,21:00,Ligue 1,Matchweek 6,Fri,Home,,,,Nice,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
6,2023-09-30,21:00,Ligue 1,Matchweek 7,Sat,Home,,,,Marseille,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
7,2023-10-08,,Ligue 1,Matchweek 8,Sun,Away,,,,Reims,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
8,2023-10-22,,Ligue 1,Matchweek 9,Sun,Home,,,,Metz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
9,2023-10-29,,Ligue 1,Matchweek 10,Sun,Away,,,,Lille,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
10,2023-11-05,,Ligue 1,Matchweek 11,Sun,Home,,,,Brest,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
11,2023-11-12,,Ligue 1,Matchweek 12,Sun,Away,,,,Le Havre,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
12,2023-11-26,,Ligue 1,Matchweek 13,Sun,Away,,,,Paris S-G,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
13,2023-12-03,,Ligue 1,Matchweek 14,Sun,Home,,,,Montpellier,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
14,2023-12-10,,Ligue 1,Matchweek 15,Sun,Away,,,,Rennes,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
15,2023-12-17,,Ligue 1,Matchweek 16,Sun,Home,,,,Lyon,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
16,2023-12-20,,Ligue 1,Matchweek 17,Wed,Away,,,,Toulouse,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
17,2024-01-13,,Ligue 1,Matchweek 18,Sat,Home,,,,Reims,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
18,2024-01-28,,Ligue 1,Matchweek 19,Sun,Away,,,,Marseille,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
19,2024-02-04,,Ligue 1,Matchweek 20,Sun,Home,,,,Le Havre,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
20,2024-02-11,,Ligue 1,Matchweek 21,Sun,Away,,,,Nice,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
21,2024-02-18,,Ligue 1,Matchweek 22,Sun,Home,,,,Toulouse,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
22,2024-02-25,,Ligue 1,Matchweek 23,Sun,Away,,,,Lens,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
23,2024-03-03,,Ligue 1,Matchweek 24,Sun,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
24,2024-03-10,,Ligue 1,Matchweek 25,Sun,Away,,,,Strasbourg,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
25,2024-03-17,,Ligue 1,Matchweek 26,Sun,Home,,,,Lorient,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
26,2024-03-31,,Ligue 1,Matchweek 27,Sun,Away,,,,Metz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
27,2024-04-07,,Ligue 1,Matchweek 28,Sun,Home,,,,Rennes,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
28,2024-04-14,,Ligue 1,Matchweek 29,Sun,Home,,,,Lille,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
29,2024-04-21,,Ligue 1,Matchweek 30,Sun,Away,,,,Brest,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
30,2024-04-28,,Ligue 1,Matchweek 31,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
31,2024-05-03,,Ligue 1,Matchweek 32,Fri,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
32,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Away,,,,Montpellier,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
33,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Home,,,,Nantes,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Monaco
