,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
0,2023-01-28,21:30,Primera Div,Matchweek 1,Sat,Away,W,2.0,0.0,CC Córdoba,,,65.0,,Enzo Pérez,4-2-3-1,Facundo Tello,Match Report,,,,,0.1,0.33,2.0,0.0,0.0,21.0,6.0,28.6,,,,2023,River Plate
1,2023-02-04,19:15,Primera Div,Matchweek 2,Sat,Away,L,1.0,2.0,Club Atlético Belgrano,,,66.0,,Enzo Pérez,4-2-3-1,Yael Falcón,Match Report,,,,,0.07,0.25,1.0,0.0,0.0,15.0,4.0,26.7,,,,2023,River Plate
2,2023-02-12,19:15,Primera Div,Matchweek 3,Sun,Home,W,2.0,1.0,Argentinos Jun,,,50.0,,Enzo Pérez,4-3-1-2,Fernando Rapallini,Match Report,,,,,0.0,0.0,2.0,2.0,2.0,8.0,3.0,37.5,,,,2023,River Plate
3,2023-02-18,18:00,Primera Div,Matchweek 4,Sat,Away,W,1.0,0.0,Tigre,,,55.0,,Enzo Pérez,4-1-3-2,Jorge Baliño,Match Report,,,,,0.07,0.2,1.0,0.0,0.0,15.0,5.0,33.3,,,,2023,River Plate
4,2023-02-26,19:15,Primera Div,Matchweek 5,Sun,Home,L,1.0,2.0,Arsenal,,,64.0,,Enzo Pérez,4-4-2◆,Nicolás Ramírez,Match Report,,,,,0.05,0.1,1.0,0.0,0.0,20.0,10.0,50.0,,,,2023,River Plate
5,2023-03-04,19:15,Primera Div,Matchweek 6,Sat,Away,W,2.0,0.0,Lanús,,,52.0,,Enzo Pérez,4-3-1-2,Darío Herrera,Match Report,,,,,0.67,1.0,2.0,0.0,0.0,3.0,2.0,66.7,,,,2023,River Plate
6,2023-03-12,19:15,Primera Div,Matchweek 7,Sun,Home,W,3.0,0.0,Godoy Cruz,,,67.0,,Enzo Pérez,4-3-2-1,Silvio Trucco,Match Report,,,,,0.06,0.2,3.0,2.0,2.0,16.0,5.0,31.3,,,,2023,River Plate
7,2023-03-19,21:30,Primera Div,Matchweek 8,Sun,Away,W,2.0,0.0,Sarmiento,,,70.0,,Enzo Pérez,4-3-3,Ariel Penel,Match Report,,,,,0.04,0.13,2.0,1.0,1.0,25.0,8.0,32.0,,,,2023,River Plate
8,2023-03-31,21:30,Primera Div,Matchweek 9,Fri,Home,W,1.0,0.0,CA Unión,,,68.0,,Enzo Pérez,4-3-2-1,Fernando Echenique,Match Report,,,,,0.05,0.14,1.0,0.0,0.0,20.0,7.0,35.0,,,,2023,River Plate
9,2023-04-04,18:00,Libertadores,Group stage,Tue,Away,L,1.0,3.0,bo The Strongest,2.8,2.2,59.0,,Enzo Pérez,4-2-3-1,Jesús Valenzuela,Match Report,,19.8,0.0,-1.8,0.0,0.0,1.0,1.0,1.0,23.0,6.0,26.1,-2.0,2.0,0.09,2023,River Plate
10,2023-04-09,19:00,Primera Div,Matchweek 10,Sun,Away,W,3.0,0.0,CA Huracán,,,62.0,,Enzo Pérez,4-2-2-2,Facundo Tello,Match Report,,,,,0.05,0.17,3.0,2.0,2.0,19.0,6.0,31.6,,,,2023,River Plate
11,2023-04-13,19:30,Primera Div,Matchweek 11,Thu,Home,W,3.0,0.0,Gimnasia ELP,,,71.0,,Enzo Pérez,4-4-2◆,Darío Herrera,Match Report,,,,,0.09,0.29,3.0,1.0,1.0,23.0,7.0,30.4,,,,2023,River Plate
12,2023-04-16,19:00,Primera Div,Matchweek 12,Sun,Away,W,1.0,0.0,Newell's OB,,,50.0,,Franco Armani,4-2-3-1,Hernán Mastrángelo,Match Report,,,,,0.08,0.2,1.0,0.0,0.0,12.0,5.0,41.7,,,,2023,River Plate
13,2023-04-19,21:00,Libertadores,Group stage,Wed,Home,W,4.0,2.0,pe Sporting Cristal,1.8,0.8,56.0,,Enzo Pérez,4-2-2-2,John J. Ospina,Match Report,,17.8,1.0,2.2,0.21,0.57,4.0,0.0,0.0,19.0,7.0,36.8,2.2,1.8,0.09,2023,River Plate
14,2023-04-23,20:30,Primera Div,Matchweek 13,Sun,Home,W,2.0,0.0,Independiente,,,71.0,,Enzo Pérez,4-3-3,Andrés Merlos,Match Report,,,,,0.11,0.25,2.0,0.0,0.0,19.0,8.0,42.1,,,,2023,River Plate
15,2023-04-28,21:30,Primera Div,Matchweek 14,Fri,Away,D,1.0,1.0,Tucumán,,,65.0,,Franco Armani,3-4-1-2,Fernando Rapallini,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,,,,2023,River Plate
16,2023-05-02,21:00,Libertadores,Group stage,Tue,Away,L,1.0,5.0,br Fluminense,0.8,3.4,45.0,62505.0,Enzo Pérez,4-3-3,Esteban Ostojich,Match Report,,23.2,1.0,0.2,0.08,0.14,1.0,0.0,0.0,13.0,7.0,53.8,0.2,0.8,0.06,2023,River Plate
17,2023-05-07,17:30,Primera Div,Matchweek 15,Sun,Home,W,1.0,0.0,Boca Juniors,,,60.0,,Enzo Pérez,4-2-3-1,Darío Herrera,Match Report,,,,,0.0,0.0,1.0,1.0,1.0,16.0,5.0,31.3,,,,2023,River Plate
18,2023-05-14,21:30,Primera Div,Matchweek 16,Sun,Away,L,1.0,2.0,Talleres,,,67.0,,Enzo Pérez,4-2-3-1,Nicolás Ramírez,Match Report,,,,,0.07,0.2,1.0,0.0,0.0,14.0,5.0,35.7,,,,2023,River Plate
19,2023-05-21,20:30,Primera Div,Matchweek 17,Sun,Home,W,2.0,1.0,Platense,,,68.0,,Enzo Pérez,4-2-3-1,Nazareno Arasa,Match Report,,,,,0.1,0.4,2.0,0.0,0.0,20.0,5.0,25.0,,,,2023,River Plate
20,2023-05-25,19:00,Libertadores,Group stage,Thu,Away,D,1.0,1.0,pe Sporting Cristal,2.5,0.7,62.0,,Enzo Pérez,4-2-3-1,Cristián Garay,Match Report,,19.3,2.0,-1.5,0.05,0.2,1.0,0.0,1.0,19.0,5.0,26.3,-0.7,1.7,0.09,2023,River Plate
21,2023-05-29,21:30,Primera Div,Matchweek 18,Mon,Away,D,2.0,2.0,Vélez Sarsf,,,61.0,,Franco Armani,4-2-3-1,Fernando Echenique,Match Report,,,,,0.11,0.18,2.0,0.0,0.0,19.0,11.0,57.9,,,,2023,River Plate
