,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
0,2023-04-06,20:00,Sudamericana,Group stage,Thu,Away,D,2.0,2.0,cl Deportes Magallanes,,,50.0,,Fernando Marçal,4-2-3-1,Christian Ferreyra,Match Report,,,,,0.14,0.4,2.0,0.0,0.0,14.0,5.0,35.7,,,,2023,Botafogo RJ
1,2023-04-15,18:30,Série A,Matchweek 1,Sat,Home,W,2.0,1.0,São Paulo,0.9,2.0,33.0,11708.0,Víctor Cuesta,4-2-3-1,Ramon Abatti Abel,Match Report,,18.3,0.0,1.1,0.17,0.67,2.0,0.0,0.0,12.0,3.0,25.0,1.1,0.9,0.07,2023,Botafogo RJ
2,2023-04-20,21:00,Sudamericana,Group stage,Thu,Home,W,4.0,0.0,pe U César Vallejo,,,70.0,19486.0,Víctor Cuesta,4-2-3-1,Maximiliano Ramírez,Match Report,,,,,0.08,0.22,4.0,2.0,2.0,24.0,9.0,37.5,,,,2023,Botafogo RJ
3,2023-04-24,20:00,Série A,Matchweek 2,Mon,Away,W,2.0,1.0,Bahia,0.2,0.9,42.0,27822.0,Víctor Cuesta,4-2-3-1,Raphael Claus,Match Report,,21.9,0.0,1.8,0.4,0.67,2.0,0.0,0.0,5.0,3.0,60.0,1.8,0.2,0.04,2023,Botafogo RJ
4,2023-04-30,16:00,Série A,Matchweek 3,Sun,Away,W,3.0,2.0,Flamengo,1.9,3.1,26.0,53138.0,Fernando Marçal,4-2-3-1,Edina Alves Batista,Match Report,,16.8,0.0,1.1,0.18,0.4,3.0,1.0,1.0,11.0,5.0,45.5,0.9,1.1,0.16,2023,Botafogo RJ
5,2023-05-04,21:00,Sudamericana,Group stage,Thu,Home,D,0.0,0.0,ec LDU de Quito,,,54.0,,Fernando Marçal,4-2-3-1,Darío Herrera,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,16.0,6.0,37.5,,,,2023,Botafogo RJ
6,2023-05-07,18:30,Série A,Matchweek 4,Sun,Home,W,2.0,0.0,Atlético Mineiro,2.0,0.5,39.0,18218.0,Víctor Cuesta,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,17.7,0.0,0.0,0.09,0.29,2.0,0.0,0.0,22.0,7.0,31.8,0.0,2.0,0.09,2023,Botafogo RJ
7,2023-05-11,19:30,Série A,Matchweek 5,Thu,Home,W,3.0,0.0,Corinthians,2.6,0.6,53.0,22388.0,Fernando Marçal,4-2-3-1,Anderson Daronco,Match Report,,24.7,1.0,0.4,0.13,0.4,3.0,1.0,1.0,15.0,5.0,33.3,0.2,1.8,0.13,2023,Botafogo RJ
8,2023-05-14,18:30,Série A,Matchweek 6,Sun,Away,L,1.0,2.0,Goiás,1.5,1.9,53.0,6674.0,Fernando Marçal,4-2-3-1,Rafael Rodrigo Klein,Match Report,,20.2,1.0,-0.5,0.0,0.0,1.0,1.0,1.0,16.0,1.0,6.3,-0.8,0.8,0.05,2023,Botafogo RJ
9,2023-05-20,18:30,Série A,Matchweek 7,Sat,Home,W,1.0,0.0,Fluminense,1.4,0.9,35.0,24732.0,Fernando Marçal,4-2-3-1,Braulio da Silva Machado,Match Report,,17.7,0.0,-0.4,0.05,0.14,1.0,0.0,0.0,21.0,7.0,33.3,-0.4,1.4,0.07,2023,Botafogo RJ
