,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
0,2023-08-21,20:45,Serie A,Matchweek 1,Mon,Away,W,2.0,0.0,Bologna,0.9,1.0,47.0,,Davide Calabria,4-3-3,Luca Pairetto,Match Report,,15.7,0.0,1.1,0.22,0.4,2.0,0.0,0.0,9.0,5.0,55.6,1.1,0.9,0.1,2023,Milan
1,2023-08-26,20:45,Serie A,Matchweek 2,Sat,Home,W,4.0,1.0,Torino,3.0,0.5,59.0,,Davide Calabria,4-3-3,Maurizio Mariani,Match Report,,20.7,0.0,1.0,0.13,0.4,4.0,2.0,2.0,15.0,5.0,33.3,0.5,1.5,0.1,2023,Milan
2,2023-09-01,20:45,Serie A,Matchweek 3,Fri,Away,,,,Roma,,,,,,,,Head-to-Head,,18.8,0.0,2.1,0.17,0.4,6.0,2.0,2.0,24.0,10.0,41.7,1.6,2.4,0.1,2023,Milan
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Away,,,,Inter,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
4,2023-09-24,,Serie A,Matchweek 5,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
5,2023-09-27,,Serie A,Matchweek 6,Wed,Away,,,,Cagliari,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
6,2023-10-01,,Serie A,Matchweek 7,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
7,2023-10-08,,Serie A,Matchweek 8,Sun,Away,,,,Genoa,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
8,2023-10-22,,Serie A,Matchweek 9,Sun,Home,,,,Juventus,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
9,2023-10-29,,Serie A,Matchweek 10,Sun,Away,,,,Napoli,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
10,2023-11-05,,Serie A,Matchweek 11,Sun,Home,,,,Udinese,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
11,2023-11-12,,Serie A,Matchweek 12,Sun,Away,,,,Lecce,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
12,2023-11-26,,Serie A,Matchweek 13,Sun,Home,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
13,2023-12-03,,Serie A,Matchweek 14,Sun,Home,,,,Frosinone,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
14,2023-12-10,,Serie A,Matchweek 15,Sun,Away,,,,Atalanta,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
15,2023-12-17,,Serie A,Matchweek 16,Sun,Home,,,,Monza,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
16,2023-12-23,,Serie A,Matchweek 17,Sat,Away,,,,Salernitana,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
17,2023-12-30,,Serie A,Matchweek 18,Sat,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
18,2024-01-07,,Serie A,Matchweek 19,Sun,Away,,,,Empoli,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Milan
