,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,dist,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,year,team
0,2023-04-16,18:00,Série B,Matchweek 1,Sun,Home,W,3.0,0.0,Ponte Preta,43.0,20751.0,Zeca,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,,0.17,0.43,3.0,0.0,0.0,18.0,7.0,38.9,2023,Vitoria
1,2023-04-23,17:00,Série B,Matchweek 2,Sun,Away,W,3.0,0.0,ABC,63.0,6570.0,Zeca,4-2-3-1,Matheus Delgado Candançan,Match Report,,,0.08,0.25,3.0,2.0,2.0,12.0,4.0,33.3,2023,Vitoria
2,2023-04-28,19:00,Série B,Matchweek 3,Fri,Home,W,2.0,0.0,Londrina,53.0,24222.0,Zeca,4-2-3-1,Paulo Henrique Schleinch Vollkopf,Match Report,,,0.11,0.29,2.0,0.0,0.0,19.0,7.0,36.8,2023,Vitoria
3,2023-05-05,21:30,Série B,Matchweek 5,Fri,Away,W,3.0,0.0,Botafogo (SP),45.0,3426.0,Zeca,4-2-3-1,Savio Pereira,Match Report,,,0.16,0.6,3.0,0.0,0.0,19.0,5.0,26.3,2023,Vitoria
4,2023-05-10,19:00,Série B,Matchweek 4,Wed,Away,W,2.0,0.0,Ceará,34.0,,Zeca,4-2-3-1,Bruno Mota Correia,Match Report,,,0.2,0.4,2.0,0.0,0.0,10.0,5.0,50.0,2023,Vitoria
5,2023-05-14,18:00,Série B,Matchweek 6,Sun,Home,L,2.0,3.0,Atl Goianiense,54.0,27415.0,Zeca,4-2-3-1,João Vitor Gobi,Match Report,,,0.15,1.0,2.0,0.0,0.0,13.0,2.0,15.4,2023,Vitoria
6,2023-05-19,19:00,Série B,Matchweek 7,Fri,Away,L,0.0,2.0,Mirassol Futebol Clube,43.0,1971.0,Zeca,4-2-3-1,André Luiz Skettino Policarpo Bento,Match Report,,,0.0,0.0,0.0,0.0,0.0,12.0,3.0,25.0,2023,Vitoria
7,2023-05-24,19:00,Série B,Matchweek 8,Wed,Home,W,1.0,0.0,CRB,58.0,13754.0,Zeca,4-2-3-1,Alisson Sidnei Furtado,Match Report,,,0.05,0.33,1.0,0.0,0.0,20.0,3.0,15.0,2023,Vitoria
8,2023-05-27,17:30,Série B,Matchweek 9,Sat,Away,D,1.0,1.0,Avaí,44.0,4363.0,Rodrigo Andrade,3-4-3,Marcelo de Lima Henrique,Match Report,,,0.11,0.25,1.0,0.0,0.0,9.0,4.0,44.4,2023,Vitoria
9,2023-06-02,21:30,Série B,Matchweek 10,Fri,Home,W,3.0,0.0,Ituano,45.0,21587.0,Zeca,4-2-3-1,André Luiz Skettino Policarpo Bento,Match Report,,,0.18,0.6,3.0,0.0,0.0,17.0,5.0,29.4,2023,Vitoria
10,2023-06-06,19:00,Série B,Matchweek 11,Tue,Away,W,2.0,1.0,Tombense Futebol Clube,41.0,698.0,Osvaldo,3-4-3,Lucas Paulo Torezin,Match Report,,,0.13,0.25,2.0,1.0,1.0,8.0,4.0,50.0,2023,Vitoria
11,2023-06-11,18:00,Série B,Matchweek 12,Sun,Home,L,0.0,1.0,Criciúma,61.0,27541.0,Zeca,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,,0.0,0.0,0.0,0.0,0.0,24.0,2.0,8.3,2023,Vitoria
12,2023-06-25,18:00,Série B,Matchweek 13,Sun,Away,L,0.0,2.0,Guarani,64.0,4137.0,Zeca,4-2-3-1,Bruno Arleu de Araujo,Match Report,,,0.0,0.0,0.0,0.0,0.0,8.0,2.0,25.0,2023,Vitoria
13,2023-06-28,21:30,Série B,Matchweek 14,Wed,Home,W,2.0,1.0,Sampaio Corrêa,60.0,10848.0,Zeca,4-2-3-1,Alisson Sidnei Furtado,Match Report,,,0.1,0.25,2.0,0.0,0.0,20.0,8.0,40.0,2023,Vitoria
14,2023-07-02,15:30,Série B,Matchweek 15,Sun,Away,L,0.0,1.0,Juventude,50.0,5195.0,Zeca,5-4-1,Vinicius Gonçalves Dias Araujo,Match Report,,,0.0,0.0,0.0,0.0,0.0,9.0,3.0,33.3,2023,Vitoria
15,2023-07-10,20:00,Série B,Matchweek 16,Mon,Away,L,0.0,1.0,Vila Nova,56.0,,Osvaldo,4-2-3-1,Matheus Delgado Candançan,Match Report,,,0.0,0.0,0.0,0.0,0.0,11.0,3.0,27.3,2023,Vitoria
16,2023-07-16,18:00,Série B,Matchweek 17,Sun,Home,W,2.0,1.0,Grêmio Novorizontino,44.0,,Osvaldo,3-4-3,André Luiz Skettino Policarpo Bento,Match Report,,,0.15,0.4,2.0,0.0,0.0,13.0,5.0,38.5,2023,Vitoria
17,2023-07-19,21:30,Série B,Matchweek 18,Wed,Away,W,2.0,1.0,Sport Recife,42.0,,Osvaldo,3-4-3,Luiz Flávio de Oliveira,Match Report,,,0.11,0.33,1.0,0.0,0.0,9.0,3.0,33.3,2023,Vitoria
18,2023-07-24,19:00,Série B,Matchweek 19,Mon,Home,W,1.0,0.0,Chapecoense,58.0,,Osvaldo,3-4-3,Marcelo de Lima Henrique,Match Report,,,0.05,0.25,1.0,0.0,0.0,21.0,4.0,19.0,2023,Vitoria
19,2023-07-30,18:00,Série B,Matchweek 20,Sun,Away,D,2.0,2.0,Ponte Preta,73.0,,Wagner,3-4-3,Maguielson Lima Barbosa,Match Report,,,0.05,0.33,2.0,1.0,1.0,22.0,3.0,13.6,2023,Vitoria
20,2023-08-02,21:30,Série B,Matchweek 21,Wed,Home,W,2.0,0.0,ABC,60.0,,Zeca,3-4-3,Bruno Mota Correia,Match Report,,,0.07,0.33,1.0,0.0,0.0,14.0,3.0,21.4,2023,Vitoria
21,2023-08-07,20:00,Série B,Matchweek 22,Mon,Away,L,0.0,2.0,Londrina,64.0,,Zeca,3-4-3,Arthur Gomes Rabelo,Match Report,,,0.0,0.0,0.0,0.0,0.0,8.0,1.0,12.5,2023,Vitoria
22,2023-08-13,18:00,Série B,Matchweek 23,Sun,Home,W,1.0,0.0,Ceará,34.0,,Wagner,4-4-2,Bruno Arleu de Araujo,Match Report,,,0.0,0.0,1.0,1.0,1.0,8.0,2.0,25.0,2023,Vitoria
23,2023-08-18,19:00,Série B,Matchweek 24,Fri,Home,W,2.0,0.0,Botafogo (SP),54.0,,Zeca,3-4-3,Wagner do Nascimento Magalhães,Match Report,,,0.14,0.4,2.0,0.0,0.0,14.0,5.0,35.7,2023,Vitoria
24,2023-08-27,18:00,Série B,Matchweek 25,Sun,Away,D,0.0,0.0,Atl Goianiense,36.0,,Zeca,3-4-3,André Luiz Skettino Policarpo Bento,Match Report,,,0.0,0.0,0.0,0.0,0.0,8.0,3.0,37.5,2023,Vitoria
