,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,dist,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,year,team
0,2023-04-05,18:15,Veikkausliiga,Matchweek 1,Wed,Home,W,2.0,0.0,FC Honka,,6125.0,,,Mohammad Al Emara,Match Report,,,,,2.0,0.0,0.0,,,,2023,HJK Helsinki
1,2023-04-15,18:30,Veikkausliiga,Matchweek 2,Sat,Away,W,1.0,0.0,VPS,,2612.0,,,Ville Nevalainen,Match Report,,,,,0.0,0.0,1.0,,,,2023,HJK Helsinki
2,2023-04-19,18:00,Veikkausliiga,Matchweek 3,Wed,Home,W,4.0,0.0,VPS,,3111.0,,,Oskari Hämäläinen,Match Report,,,,,4.0,0.0,0.0,,,,2023,HJK Helsinki
3,2023-04-23,18:30,Veikkausliiga,Matchweek 3,Sun,Home,D,1.0,1.0,AC Oulu,,3521.0,,,Petri Viljanen,Match Report,,,,,1.0,1.0,1.0,,,,2023,HJK Helsinki
4,2023-04-29,15:00,Veikkausliiga,Matchweek 4,Sat,Home,W,2.0,0.0,Haka,,4306.0,,,Joni Hyytiä,Match Report,,,,,2.0,0.0,0.0,,,,2023,HJK Helsinki
5,2023-05-05,18:15,Veikkausliiga,Matchweek 5,Fri,Away,L,1.0,2.0,KuPS,,5423.0,,,Peiman Simani,Match Report,,,,,1.0,0.0,0.0,,,,2023,HJK Helsinki
6,2023-05-09,18:00,Veikkausliiga,Matchweek 6,Tue,Away,D,3.0,3.0,KTP,,3065.0,,,Joni Hyytiä,Match Report,,,,,3.0,0.0,0.0,,,,2023,HJK Helsinki
7,2023-05-13,17:00,Veikkausliiga,Matchweek 7,Sat,Home,W,4.0,1.0,Inter Turku,,4723.0,,,Antti Munukka,Match Report,,,,,4.0,0.0,0.0,,,,2023,HJK Helsinki
8,2023-05-21,16:00,Veikkausliiga,Matchweek 7,Sun,Away,D,1.0,1.0,Ilves,,6588.0,,,Petri Viljanen,Match Report,,,,,1.0,0.0,0.0,,,,2023,HJK Helsinki
9,2023-05-27,18:30,Veikkausliiga,Matchweek 9,Sat,Away,D,0.0,0.0,IFK Mariehamn,,1208.0,,,Joni Hyytiä,Match Report,,,,,0.0,0.0,0.0,,,,2023,HJK Helsinki
10,2023-06-03,17:00,Veikkausliiga,Matchweek 10,Sat,Home,D,0.0,0.0,SJK,,5639.0,,,Oliver Reitala,Match Report,,,,,0.0,0.0,0.0,,,,2023,HJK Helsinki
11,2023-06-07,18:00,Veikkausliiga,Matchweek 11,Wed,Away,W,2.0,1.0,Lahti,,2890.0,,,Mohammad Al Emara,Match Report,,,,,2.0,1.0,1.0,,,,2023,HJK Helsinki
12,2023-06-11,18:30,Veikkausliiga,Matchweek 12,Sun,Home,W,1.0,0.0,KTP,,5012.0,,,Peiman Simani,Match Report,,,,,1.0,1.0,1.0,,,,2023,HJK Helsinki
13,2023-06-27,18:00,Veikkausliiga,Matchweek 13,Tue,Away,D,1.0,1.0,Haka,,2905.0,,,Peiman Simani,Match Report,,,,,1.0,0.0,0.0,,,,2023,HJK Helsinki
14,2023-07-01,14:00,Veikkausliiga,Matchweek 13,Sat,Away,D,1.0,1.0,FC Honka,,3443.0,,,Peiman Simani,Match Report,,,,,1.0,1.0,1.0,,,,2023,HJK Helsinki
15,2023-07-08,14:00,Veikkausliiga,Matchweek 14,Sat,Home,L,0.0,1.0,Lahti,,4056.0,,,Oliver Reitala,Match Report,,,,,0.0,0.0,0.0,,,,2023,HJK Helsinki
16,2023-07-22,17:00,Veikkausliiga,Matchweek 16,Sat,Home,W,1.0,0.0,Ilves,,5059.0,Miro Tenho,3-4-3,Joona Manninen,Match Report,,,,,,,,,,,2023,HJK Helsinki
17,2023-07-29,17:00,Veikkausliiga,Matchweek 17,Sat,Away,W,2.0,1.0,SJK,,5016.0,Miro Tenho,3-4-3,Peiman Simani,Match Report,,,,,,,,,,,2023,HJK Helsinki
18,2023-08-05,15:00,Veikkausliiga,Matchweek 18,Sat,Home,W,4.0,2.0,IFK Mariehamn,,8005.0,Roope Riski,3-4-3,Oskari Hämäläinen,Match Report,,,,,,,,,,,2023,HJK Helsinki
