game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,team_id_a,team_id_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_4_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b,score_extra_time_4_b
U2007_001,SIA-TTK,2007-11-06,17:40:00,1,REGULAR SEASON,U2007,90,97,SIAULIAI,TURK TELEKOM,SIA,TTK,,,40:00,00:00,"MOUZAKIS, COSTAS","OZOLS, ARNIS","WILLIAMS, KEITH",SIAULIAI ARENA,4200,80,21,17,0,0,24,49,65,90,22,47,75,97,,,,,,,,
U2007_002,BOS-GUI,2007-11-06,20:15:00,1,REGULAR SEASON,U2007,84,68,KK BOSNA,GUILDFORD HEAT,BOS,GUI,,,40:00,00:00,"RADOVIC, SRETEN","RUTESIC, ZDRAVKO","ESTERON, OMER",OLYMPIC HALL ZETRA,6500,80,24,20,2,4,29,47,64,84,11,37,52,68,,,,,,,,
U2007_003,JOV-BER,2007-11-06,20:45:00,1,REGULAR SEASON,U2007,79,67,CLUB JOVENTUT BADALONA,ALBA BERLIN,JOV,BER,,,40:00,00:00,"ZACHARA, IVAN","CHRISTODOULOU, CHRISTOS","ZAMOJSKI, JAKUB",PABELLON MUNICIPAL DE DEPORTES DE BADALONA,0,80,21,22,2,4,24,39,58,79,12,36,55,67,,,,,,,,
U2007_004,VEN-BES,2007-11-06,18:40:00,1,REGULAR SEASON,U2007,79,87,BK VENTSPILS,BESIKTAS COLA TURKA,VEN,BES,,,40:00,00:00,N/D,N/D,N/D,VENTSPILS NAFTA HALL,0,80,22,18,3,0,20,36,54,79,19,44,68,87,,,,,,,,
U2007_005,COL-CHL,2007-11-06,19:30:00,1,REGULAR SEASON,U2007,94,84,KÖLN 99ERS,ELAN CHALON,COL,CHL,,,45:00,00:00,"BULTO, VICENTE","SHEMMESH, SEFFI","NURAN, RUSTU",PHILLIPSHAVE,0,90,26,19,2,5,28,50,66,94,20,46,71,84,94,,,,84,,,
U2007_006,ZEL-OVA,2007-11-06,18:00:00,1,REGULAR SEASON,U2007,89,79,BC FMP,OVARENSE,ZEL,OVA,,,40:00,00:00,"MITJANA, JUAN CARLOS","ZIEMBLICKI, GRZEGORZ","TAURINO, PAOLO",KOSARKASKA DVORANA FMP - ZELEZNIK,1000,80,29,22,3,2,20,46,73,89,23,45,65,79,,,,,,,,
U2007_007,VRS-CHA,2007-11-06,18:00:00,1,REGULAR SEASON,U2007,73,71,HEMOFARM,SPIROU BASKET,VRS,CHA,,,40:00,00:00,"CICORIA, GIANPAOLO","MATTIOLI, GIANLUCA","CIULIN, MARIUS",CENTAR MILLENIUM,2500,80,21,30,4,4,17,27,51,73,23,40,52,71,,,,,,,,
U2007_008,PLO-GRO,2007-11-06,18:00:00,1,REGULAR SEASON,U2007,80,73,PLOIESTI,MPC CAPITALS,PLO,GRO,,,40:00,00:00,"ZURAPOVIC, ADEMIR","CUKALOVIC, CASLAV","HERLT, OLIVER",OLIVIA SPORT HALL,3000,80,16,27,4,4,13,33,48,80,21,34,56,73,,,,,,,,
U2007_009,GAL-GIR,2007-11-06,18:00:00,1,REGULAR SEASON,U2007,71,69,GALATASARAY,CLUB BASQUET GIRONA,GAL,GIR,,,40:00,00:00,"MUHVIC, DUBRAVKO","JERSAN, ANDREJ","KOLAR, ROMAN",AYHAN SAHENK SPORTS HALL,500,80,22,14,0,4,22,39,61,71,22,37,52,69,,,,,,,,
U2007_010,PAM-FRA,2007-11-07,20:30:00,1,REGULAR SEASON,U2007,85,63,VALENCIA BASKET CLUB,SKYLINERS,PAM,FRA,,,40:00,00:00,"CASTANO, ANIBAL","PILOIDIS, ANASTASIOS","SABETTA, ENRICO",PABELLON FUENTE DE SAN LUIS,5500,80,17,22,3,5,17,39,63,85,20,34,48,63,,,,,,,,
